keyword,best_doc_index,best_tfidf,example_snippet
buffet,231,0.488186947728939,...n Meal type Other Price per person $100+ Recommended dishes Buffet  Service: Dine in Meal type: Other Price per person: $100+ ...
wilson,276,0.7443053936740398,Wilson was great! Food: 5 Service: 5 Atmosphere: 5  Food: 5 Servic...
seafood,506,0.33290391908134725,... Dinner Price per person $50–100 Recommended dishes Premium Seafood  Service: Dine in Meal type: Dinner Price per person: $50–1...
niku,1214,0.4761772492129783,"Love Niku's Omakase, such an incredible dining experience"
reservation,14,0.5176986256081976,"...sappointed with the experience I had with this restaurant’s reservation system and management. We made a reservation two weeks ago,..."
snow crab,552,0.2928452469884091,...5 Service: 5 Atmosphere: 5 Recommended dishes King Crab and Snow Crab Legs  Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: ...
snow,552,0.2928452469884091,...5 Service: 5 Atmosphere: 5 Recommended dishes King Crab and Snow Crab Legs  Food: 5 Service: 5 Atmosphere: 5 Recommended dis...
crab snow,552,0.2974916904611273,Kevin was the best thank you so much give him all the shifts please! Food was delicious Food: 5 Service: 5 Atmosphere: 5...
noise,183,0.41751243131110644,...LA. Price per person $100+ Food: 5 Service: 5 Atmosphere: 5 Noise level Moderate noise Wait time Up to 10 min  Price per pers...
dining,1214,0.5340936130868971,"Love Niku's Omakase, such an incredible dining experience"
kevin,292,0.7674656566288838,Kevin was the best! Food: 5 Service: 5 Atmosphere: 5  Food: 5 Ser...
tomahawk,1094,0.5101161956818885,Tomahawk it's just perfect recommended 100% service there is 6 * jej...
options,571,0.3580918938650544,"There are plenty of buffet options, but if you want to go with A5 Wagyu, I recommend choosing ..."
dine atmosphere,440,0.9152039867544111,Service: Dine in Food: 5 Service: 5 Atmosphere: 5
excellent,653,1.0,"Excellent for Everything, Highly recommended!👍 …"
quality,381,0.5404074388001702,...re was amazing :-) all the food was very fresh and of great quality. ty daren for such great service!! Food: 5 Service: 5 Atmos...
valet,795,0.3401904822013621,...as our server).  Parking will be the Intercontinental Hotel Valet. Make sure to get your valet ticket validated. They charged...
attentive,164,0.3988045343610831,Nessi (the lochness monster)  was the best! He was attentive and helped us out with everything we needed! Food: 5 Servic...
delicious,286,0.5579780793601935,Kevin was great! Everything was delicious!! Food: 5 Service: 5 Atmosphere: 5  Food: 5 Service: 5 Atmo...
level,1237,0.27507636175755557,Our time at Niku X was a different level of dining! Love it here. Service Dine in  Service: Dine in
premium,506,0.39082406154223515,...eal type Dinner Price per person $50–100 Recommended dishes Premium Seafood  Service: Dine in Meal type: Dinner Price per perso...
atmosphere king,552,0.3420990789822162,Kevin was the best thank you so much give him all the shifts please! Food was delicious Food: 5 Service: 5 Atmosphere: 5...
wait time,162,0.2870787320034998,... and we loved every choice Food: 5 Service: 5 Atmosphere: 5 Wait time No wait  Food: 5 Service: 5 Atmosphere: 5 Wait time: No wai...
friendly,959,0.39677728884573993,"...GREAT PLACE. WILSON WAS OUR SERVER AND HE WAS AMAZING. VERY FRIENDLY, EFFICENT AND COURTEOUS. HIGHLY APPRECIATED. Food: 5 Servic..."
perfect,1094,0.5262568634724087,Tomahawk it's just perfect recommended 100% service there is 6 * jejeje Food: 5 Servic...
